track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
321237	1599	3656	46	23	0	0	0.0	0
37226	467	3655	35	17	1	0	0.0	0
908551	1234	3655	22	10	0	0	0.0	0
1191163	7957	3653	7	3	0	0	0.0	0
1356876	2484	3649	5	0	0	0	6.5	2
240842	524	3649	111	76	0	0	0.0	0
1071929	957	3647	17	13	0	0	0.0	0
1398800	1242	3646	16	10	0	0	0.0	0
1115796	2471	3644	4	0	0	0	0.0	0
200576	466	3642	7	6	0	0	0.0	0
1163316	2588	3641	17	6	0	0	0.0	0
1341461	2844	3640	3	1	0	0	5.0	2
321235	1297	3638	47	24	0	0	0.0	0
972189	348	3637	8	5	0	0	0.0	0
1349693	984	3635	17	7	0	0	0.0	0
1349366	2545	3635	9	8	0	0	3.0	1
439627	281	3634	47	31	0	0	5.0	2
127592	734	3633	106	43	0	0	0.0	0
707020	702	3633	18	9	1	0	0.0	0
700987	1429	3623	7	4	0	0	0.0	0
17941	936	3622	56	34	1	0	3.0	2
24117	178	3619	42	27	0	0	0.0	0
1029393	1858	3618	5	1	0	0	0.0	0
533192	523	3618	15	9	0	0	0.0	0
882470	1633	3617	135	67	0	0	0.0	0
195301	353	3617	46	29	0	0	4.0	1
261635	744	3614	15	5	1	0	0.0	0
377580	1319	3610	78	39	1	0	0.0	0
765174	1707	3610	7	3	0	0	0.0	0
899849	6550	3609	4	2	0	0	0.0	0
44220	1233	3609	99	58	0	0	0.0	0
642168	994	3609	31	13	0	0	10.0	1
1267123	684	3608	20	11	0	0	0.0	0
109750	606	3608	58	38	0	0	0.0	0
1114151	1105	3601	6	2	0	0	4.0	1
1101589	2237	3598	17	9	0	0	0.0	0
1163231	1378	3598	17	8	1	0	0.0	0
1350818	1930	3598	24	14	0	0	2.0	1
817705	2886	3597	19	4	1	0	0.0	0
1192554	2044	3595	13	5	3	0	0.0	0
975626	4181	3594	17	5	2	0	0.0	0
305169	853	3593	104	63	0	0	0.0	0
1107273	366	3592	13	8	0	0	0.0	0
1414965	1512	3591	51	43	0	0	6.0	1
229472	497	3590	55	26	0	0	6.0	1
184280	3298	3589	69	30	0	0	0.0	0
1036108	520	3588	39	32	1	0	0.0	0
1397859	2077	3585	16	8	0	0	0.0	0
941397	1439	3584	5	1	0	0	0.0	0
1163207	3230	3582	11	6	0	0	0.0	0
282390	3349	3578	34	17	1	0	0.0	0
146605	1108	3577	24	8	0	0	0.0	0
645220	525	3577	88	42	0	0	0.0	0
617343	2135	3575	25	11	0	0	0.0	0
1352362	1713	3575	9	4	0	0	0.0	0
857157	803	3573	7	1	0	0	0.0	0
882468	1404	3573	136	65	0	0	0.0	0
222215	517	3573	94	46	0	0	0.0	1
133101	486	3568	50	31	0	0	0.0	0
1119037	1910	3564	5	1	0	0	7.0	2
1171031	3071	3564	11	6	2	0	0.0	0
33834	638	3564	58	26	0	0	0.0	0
224794	633	3563	6	3	0	0	0.0	0
457904	243	3563	77	44	0	0	0.0	0
285529	886	3560	7	3	2	0	0.0	0
1352124	1045	3560	17	6	0	0	0.0	0
127595	665	3560	105	43	0	0	0.0	0
1371513	1945	3559	19	10	0	0	6.0	2
212015	916	3554	90	50	0	0	0.0	0
401659	2399	3552	91	52	0	0	0.0	0
1408983	518	3551	15	5	0	0	0.0	0
133661	708	3551	447	272	0	0	0.0	0
1327283	3189	3547	109	107	0	0	2.6667	3
862392	614	3546	223	197	0	0	0.0	0
911359	362	3545	81	50	2	0	0.0	0
180147	1215	3540	49	29	0	0	0.0	0
130612	1011	3540	77	33	0	0	0.0	0
1307847	902	3537	4	1	0	0	0.0	0
774004	1944	3536	31	16	0	0	6.0	1
49136	1454	3534	14	8	0	0	0.0	0
109790	484	3533	58	36	0	0	0.0	0
225611	312	3532	68	41	0	0	0.0	0
22833	848	3531	160	105	0	0	0.0	0
221637	1878	3531	179	104	0	0	8.0	1
976789	1249	3530	14	6	0	0	0.0	0
1299816	2041	3528	18	8	1	0	4.0	1
37583	524	3525	30	18	0	0	0.0	0
72644	895	3524	53	29	0	0	0.0	0
130598	746	3524	77	31	0	0	0.0	0
441877	343	3523	18	8	0	0	6.0	1
1179178	6581	3517	3	2	0	0	0.0	0
1076592	412	3516	25	12	1	0	0.0	0
330528	1945	3516	77	52	1	0	0.0	0
986586	610	3515	15	5	0	0	0.0	0
614901	946	3512	23	8	0	0	0.0	0
858721	350	3512	21	4	0	0	0.0	0
195297	489	3512	47	28	0	0	0.0	0
217496	320	3510	14	6	0	0	4.0	1
1041707	796	3509	32	25	3	0	0.0	0
1412471	2434	3509	17	5	0	0	0.0	0
321108	1412	3508	49	25	0	0	0.0	0
410467	1421	3508	54	33	0	0	0.0	0
582668	2218	3506	44	26	0	0	0.0	0
331528	664	3506	59	41	1	0	10.0	1
1178762	14257	3505	9	6	0	0	3.0	3
1047959	209	3504	43	35	1	0	0.0	0
26831	600	3503	93	66	0	0	0.0	0
771318	431	3503	16	4	0	0	0.0	0
195360	598	3501	23	5	0	0	5.0	2
862394	518	3500	225	197	0	0	0.0	0
123451	410	3499	120	72	0	0	0.0	0
18863	512	3496	29	17	0	0	0.0	0
12124	538	3495	55	32	0	0	0.0	0
306136	798	3494	24	13	0	0	0.0	0
1351055	1585	3494	16	7	0	0	2.0	1
1055021	1688	3491	9	2	3	0	8.0	1
183448	829	3490	79	37	0	0	0.0	0
1024395	947	3490	8	6	1	0	10.0	1
1052777	1128	3490	8	3	1	0	8.0	1
1347953	2356	3485	14	4	0	0	0.0	0
1153707	351	3484	1	1	0	0	0.0	0
1060603	704	3483	14	5	0	0	6.0	1
290898	1008	3482	29	16	1	0	6.0	1
1109821	1915	3481	6	1	1	0	0.0	0
940188	459	3480	13	6	1	0	6.0	1
46563	538	3479	53	30	0	0	6.0	1
941158	1895	3479	41	17	0	0	0.0	0
94877	470	3479	54	31	0	0	4.0	1
876541	610	3476	16	6	1	0	2.0	2
44222	973	3474	100	57	0	0	0.0	0
857085	627	3474	9	1	1	0	0.0	0
800687	13583	3472	3	3	0	0	7.0	1
582662	1098	3468	51	26	0	0	0.0	0
341645	5291	3467	4	1	0	0	0.0	0
908555	480	3467	23	12	0	0	0.0	0
1156056	1263	3467	37	13	2	0	9.0	2
1096869	1075	3465	9	1	0	0	0.0	0
1397851	1718	3464	3	3	0	0	0.0	0
1023087	2011	3463	1	0	1	0	0.0	0
1086616	468	3461	0	0	0	0	0.0	0
1349697	1048	3459	13	5	0	0	0.0	0
1353767	1053	3456	9	2	0	0	3.0	1
1060321	2042	3455	8	5	0	0	8.0	1
1180852	1513	3455	1	0	0	1	0.0	0
1125444	748	3453	10	4	0	0	0.0	0
44221	1533	3450	96	57	0	0	0.0	0
1044779	2482	3450	0	0	0	0	0.0	0
1084815	605	3448	17	7	1	0	8.0	1
1329322	1325	3448	5	2	0	0	3.0	2
1344555	469	3447	6	1	0	0	0.0	0
1381902	1938	3446	8	2	0	0	0.0	0
1115830	3896	3445	4	0	1	1	6.0	1
214052	1079	3443	21	10	0	0	6.0	1
37369	724	3440	68	37	0	0	0.0	0
1176652	821	3440	22	15	1	0	0.0	0
1079313	1792	3437	0	0	0	0	0.0	0
1343590	1167	3437	16	10	0	0	0.0	0
1281499	1637	3435	15	10	1	0	0.0	0
1348314	984	3431	13	8	0	0	10.0	1
205372	818	3429	74	50	0	0	0.0	0
666093	3235	3428	13	6	0	0	0.0	0
311263	1369	3426	13	2	0	0	0.0	0
173085	407	3426	47	31	0	0	0.0	0
101645	365	3425	51	34	0	0	0.0	0
37377	1137	3425	64	36	0	0	0.0	0
1280246	1556	3423	5	1	0	0	0.0	0
1036110	656	3422	49	40	1	0	0.0	0
173082	423	3419	47	31	0	0	6.0	1
1194830	1356	3417	10	5	1	0	0.0	0
173084	308	3416	48	31	0	0	0.0	0
